abbr,type,name,mapped monoclonal read pairs,cis,cis>15kb,trans
RV,tissues,Right Ventricle (RV),239849826,142617549,54936359,97232277
AG,tissues,Adrenal (AD),97270980,67608223,27312811,29662757
Bl,tissues,Bladder (BL),138981221,104230033,33588168,34751188
Co,tissues,Dorsolateral Prefrontal Cortex (CO),82593001,52036325,31585861,30556676
Hi,tissues,Hippocampus (HC),103383577,65508767,35391177,37874810
Lu,tissues,Lung (LG),119981568,59401123,26888043,60580445
Ov,tissues,Ovary (OV),100336712,48880073,24160870,51456639
Pa,tissues,Pancreas (PA),116016890,76485724,35462713,39531166
PM,tissues,Psoas (PO),109548255,72839650,25449013,36708605
SB,tissues,Small Bowel (SB),100908939,62024035,24698149,38884904
Sp,tissues,Spleen (SX),191420501,121781565,38150907,69638936
Li,tissues,Liver (LI),529984472,403692114,138903746,126292358
Ao,tissues,Aorta (AO),347672785,250658438,98889626,97014347
LV,tissues,Left Ventricle (LV),720174305,428084788,149820910,292089517
ESC,cell_lines,hESC (H1),1010994271,755240174,318799283,255754097
MesC,cell_lines,Mesendoderm (MES),803622133,680635474,341189177,122986659
MSC,cell_lines,Mesenchymal Stem Cell (MSC),564201958,485851915,353653860,78350043
NPC,cell_lines,Neural Progenitor Cell (NPC),583425589,298740849,92204029,284684740
TLC,cell_lines,Trophoblast-like Cell (TRO),658751219,474345804,167801646,184405415
FC,cell_lines,Fetal Lung Fibroblast (IMR90),1390510660,1027380933,369296903,363129727
LC,cell_lines,Lymphoblast (GM12878),654517250,359690733,135048179,294826517